"Type","Maturity","Denominated Currency","Volume","Coupon","Settlement Date","Maturity Date","USD Equivalent","ISIN","Final Terms"
"Green","9","EUR","250000000","0.006","2019-04-03","2027-11-22","285800000","XS1912495691",""
"Green","5","USD","3902000","0","2019-03-22","2024-03-15","3900000","US45905U2L74",""
"Green","4","INR","160000000","0.05","2019-03-15","2023-08-07","2278400.62","XS1863327331",""
"Green","4","ZAR","250000000","0.07","2019-01-28","2023-06-07","18141840.16","XS0941866252",""
"Green","5","INR","140000000","0.042","2019-01-15","2023-12-18","2016225.97","XS1922288169",""
"Green","5","INR","160000000","0.042","2018-12-18","2023-12-18","2240450.78","XS1922288169",""
"Green","5","USD","1055000","0","2018-11-27","2023-11-15","1060000","US45905U6K55",""
"Green","7","AUD","300000000","0.029","2018-11-26","2025-11-26","218070000","AU3CB0258739",""
"Green","9","EUR","600000000","0.006","2018-11-20","2027-11-22","675210000","XS1912495691",""
"Green","7","USD","600000000","0.031","2018-11-20","2025-11-20","600000000","US45905U6L39",""
"Green","5","INR","160000000","0.05","2018-10-30","2023-08-07","2167433.96","XS1863327331",""
"Green","5","SEK","600000000","0.004","2018-10-11","2023-07-17","66792831","XS1856338022",""
"Green","5","IDR","60000000000","0.079","2018-10-10","2023-10-10","4026305.19","XS1891127851",""
"Green","2","USD","200000000","0.029","2018-10-03","2020-10-01","200000000","US45905UX338",""
"Green","5","USD","7410000","0","2018-09-28","2023-09-15","7410000","US45905UW751",""
"Green","5","AUD","3000000","0.023","2018-06-04","2023-06-05","3766043.88","XS1816289364",""
"Green","5","INR","80000000","0.045","2018-04-05","2023-03-24","1229842.12","XS1801822419",""
"Green","5","INR","80000000","0.041","2017-11-28","2022-11-28","1232665.64","XS1724511958",""
"Green","5","USD","15000000","0","2017-09-28","2022-09-28","15000000","US45905UN834",""
"Green","5","INR","1608700000","0.05","2017-09-27","2022-09-27","25100639.73","XS1687324068","https://thedocs.worldbank.org/en/doc/2ddfcd1d5727221d6180ae07b3733740-0340022021/original/ft-2017-XS1687324068.pdf"
"Green","4","TRY","50000000","0.083","2017-09-08","2022-03-04","14475969.89","XS1198022706","http://pubdocs.worldbank.org/en/549061544553137553/ft-2015-XS1198022706-t8.pdf"
"Green","5","USD","15000000","0","2017-08-23","2022-08-23","15000000","US45905UL366",""
"Green","5","USD","300000000","0.02","2017-04-12","2022-04-12","300000000","US45905UG408","http://pubdocs.worldbank.org/en/700631544553165402/ft-2017-US45905UG408.pdf"
"Green","5","USD","50000000","0","2017-04-12","2022-04-12","50000000","US45905UG572","http://pubdocs.worldbank.org/en/952811544553166764/ft-2017-US45905UG572.pdf"
"Green","3","MYR","65000000","0.03","2017-03-13","2020-03-13","14618896.61","XS1576723552","http://pubdocs.worldbank.org/en/302211544553170997/ft-2017-XS1576723552.pdf"
"Green","6","ZAR","100000000","0.07","2017-03-08","2023-06-07","7662835.25","XS0941866252",""
"Green","3","MXN","550000000","0.075","2017-02-07","2020-03-05","26570048.31","XS0490347415","http://pubdocs.worldbank.org/en/733131544553055549/ft-2010-XS0490347415-t10.pdf"
"Green","5","USD","500000000","0.018","2016-11-22","2021-11-22","500000000","US45905UZT41",""
"Green","3","USD","100000000","0.012","2016-11-14","2019-12-15","100000000","XS1517268105",""
"Green","10","USD","1030000","0","2016-09-30","2026-09-30","1030000","US45905UYK41","http://pubdocs.worldbank.org/en/882011544553162552/ft-2016-US45905UYK41.pdf"
"Green","5","INR","200000000","0.055","2016-06-29","2021-06-28","2990431","XS1432564133","http://pubdocs.worldbank.org/en/188831550243927511/ft-2016-XS1432564133.pdf"
"Green","5","INR","140000000","0.054","2016-06-29","2021-06-29","2091113","XS1432390125",""
"Green","10","USD","100000000","0.017","2016-06-29","2026-06-29","100000000","JP500102AGJ1","http://pubdocs.worldbank.org/en/887631550249434718/ft-2016-JP500102AGJ1.pdf"
"Green","5","INR","835000000","0.053","2016-05-27","2021-06-02","12603773.58","XS1401328965",""
"Green","2","USD","280000000","0.01","2016-04-21","2018-10-01","280000000","US45905UWE09",""
"Green","12","USD","50000000","0","2016-04-06","2028-04-06","50000000","XS1386304395","http://pubdocs.worldbank.org/en/833271544553164048/ft-2016-XS1386304395.pdf"
"Green","5","INR","323700000","0.057","2016-03-30","2021-03-30","4809807","XS1379598284",""
"Green","7.5","USD","16387700","0","2016-01-08","2024-07-08","16387700","XS1319581960",""
"Green","10","USD","1440000","0","2015-12-31","2025-12-31","1440000","US45905UUG74",""
"Green","5","INR","205000000","0","2015-11-27","2020-11-30","2412577.97","XS1314903052",""
"Green","5","BRL","100000000","0.118","2015-11-04","2020-11-04","25641025.64","XS1315186921","http://pubdocs.worldbank.org/en/782911544553161009/ft-2015-XS1315186921.pdf"
"Green","5","USD","1000000","0.012","2015-11-02","2020-11-04","1000000","XS1296575373",""
"Green","7","USD","1000000","0.016","2015-11-02","2022-11-04","1000000","XS1296575969",""
"Green","10","USD","1000000","0.02","2015-11-02","2025-11-04","1000000","XS1296661298","https://thedocs.worldbank.org/en/doc/f5878fdd9afd54d354f451d29ea618aa-0340022021/original/ft-2015-XS1296661298.pdf"
"Green","10","USD","2460000","0","2015-10-30","2025-10-30","2460000","US45905UTF11",""
"Green","10","USD","50000000","0","2015-07-03","2025-07-03","50000000","XS1249904597","http://pubdocs.worldbank.org/en/425101544553155253/ft-2015-XS1249904597.pdf"
